,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Santarem,BR,80.6,broken clouds,-2.44,-54.71,Hotel Imperador
14,Wajid,SO,83.62,few clouds,3.81,43.25,Hotel Haji Aden Yare
25,Hualmay,PE,82.35,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
28,Kampong Chhnang,KH,77.77,scattered clouds,12.17,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
30,West Bay,KY,80.6,broken clouds,19.37,-81.42,Calypso Cove
37,Kudahuvadhoo,MV,80.78,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
38,Santo Amaro Da Imperatriz,BR,82.0,few clouds,-27.69,-48.78,Pousada Paraíso
39,Chagda,BR,82.0,few clouds,-27.69,-48.78,Pousada Paraíso
41,Bandarbeyla,SO,77.27,clear sky,9.49,50.81,REER XOOSHLE GROUP
42,Itacare,BR,87.8,few clouds,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
48,Sabancuy,MX,83.57,scattered clouds,18.97,-91.18,Hotel Aguilar
49,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
51,Kavieng,PG,83.25,few clouds,-2.57,150.8,Nusa Island Retreat
62,Balabac,PH,79.86,few clouds,7.99,117.06,Sing and Swing Lodge
72,Reconquista,AR,80.8,clear sky,-29.15,-59.65,Grand Hotel
81,Puerto Escondido,MX,84.2,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
82,Ayer Itam,MX,84.2,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
85,Porto Novo,BJ,89.6,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
90,Sorong,ID,75.04,overcast clouds,-0.88,131.25,The Waigo Hotel
91,Ocos,GT,86.0,few clouds,14.51,-92.19,La Bajadita
94,Loandjili,CG,86.0,broken clouds,-4.76,11.86,Résidence ARCHANGE
101,Bahia Blanca,AR,77.67,clear sky,-38.72,-62.27,Hotel Argos
108,Dakar,SN,82.4,broken clouds,14.69,-17.44,Hotel Novotel Dakar
109,Alotau,SN,82.4,broken clouds,14.69,-17.44,Hotel Novotel Dakar
110,Rio Gallegos,AR,75.2,broken clouds,-51.62,-69.22,Hotel Santa Cruz
114,Isangel,VU,78.15,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
115,Kuching,MY,77.0,light rain,1.55,110.33,Hilton Kuching
118,Pemangkat,ID,75.15,overcast clouds,1.17,108.97,Kost H.Syamsuddin
121,Carnarvon,AU,77.0,scattered clouds,-24.87,113.63,Hospitality Carnarvon
122,San Patricio,MX,80.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
125,Kabanjahe,ID,77.0,mist,3.1,98.49,Murni Losmen
128,Lorengau,PG,82.36,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
132,Mount Isa,AU,84.2,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
136,Port Keats,AU,84.56,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
144,Isiro,CD,82.9,overcast clouds,2.77,27.62,Nova
148,Quelimane,MZ,86.0,few clouds,-17.88,36.89,Hotel Flamingo
150,Trelew,AR,86.59,clear sky,-43.25,-65.31,Hotel Touring Club
151,Acapulco,MX,87.8,clear sky,16.86,-99.89,Crowne Plaza Acapulco
153,Touros,BR,87.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
154,Maceio,BR,87.8,scattered clouds,-9.67,-35.74,Mercure Maceió
155,Caravelas,BR,81.88,broken clouds,-17.71,-39.25,Pousada dos Navegantes
184,Vieques,PR,89.01,scattered clouds,18.43,-65.83,Melia Coco Beach
196,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
201,Buraydah,SA,75.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
202,Bonthe,SL,85.42,scattered clouds,7.53,-12.51,Bonthe Holiday Village
206,Mackay,AU,78.8,broken clouds,-21.15,149.2,International Lodge Motel
207,Wampusirpi,AU,78.8,broken clouds,-21.15,149.2,International Lodge Motel
212,San Andres,CO,86.0,few clouds,12.58,-81.7,Hotel Arena Blanca
221,Anloga,GH,89.6,few clouds,5.79,0.9,BeatzWave Studios
225,Tautira,PF,77.0,few clouds,-17.73,-149.15,Pension Oaoa
227,Bambous Virieux,MU,80.6,broken clouds,-20.34,57.76,Casa Tia Villa
234,Las Guacamayas,MX,88.52,clear sky,18.02,-102.22,Posada el Jazmín
235,Namatanai,PG,83.48,few clouds,-3.67,152.43,Namatanai Hotel
245,Iranshahr,IR,75.2,clear sky,27.2,60.68,کافی نت دانشگاه
252,Paracuru,BR,78.8,scattered clouds,-3.41,-39.03,Hotel VentoBrasil
255,Iguatemi,BR,78.89,broken clouds,-23.68,-54.56,Hotel Seriema
269,Saint-Pierre,RE,78.8,scattered clouds,-21.34,55.48,Lindsey Hôtel
270,Denpasar,ID,75.13,broken clouds,-8.65,115.22,Aston Denpasar Hotel & Convention Center
276,Haapiti,PF,77.0,few clouds,-17.57,-149.87,Linareva Moorea Beach Resort
280,Moron,AR,75.99,clear sky,-34.65,-58.62,Hotel Morón
287,Najran,SA,80.6,few clouds,17.49,44.13,محمد هادي ال فطيح
291,Cabo San Lucas,MX,82.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
295,Souillac,MU,80.6,broken clouds,-20.52,57.52,Bils' Villa
296,Sorvag,MU,80.6,broken clouds,-20.52,57.52,Bils' Villa
307,Olinda,BR,86.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
308,Samalaeulu,BR,86.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
309,Progreso,MX,75.2,overcast clouds,21.28,-89.67,Playa Linda Hotel
310,Paraiso,CR,78.8,overcast clouds,9.84,-83.87,Rinconcito Verde
311,Sao Joao Da Barra,BR,84.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
312,Mahebourg,MU,80.6,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
313,Belushya Guba,MU,80.6,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
315,Noumea,NC,80.01,broken clouds,-22.28,166.46,Hôtel Le Lagon
316,Kuah,MY,82.4,few clouds,6.33,99.84,Azio Hotel
321,San Isidro,PE,80.6,overcast clouds,-12.12,-77.05,Radisson Hotel Decapolis Miraflores
324,Tres Arroyos,AR,80.82,clear sky,-38.37,-60.28,Habitacion Triple con baño y entrada privada
326,Bubaque,GW,78.76,scattered clouds,11.28,-15.83,Casa Dora
336,Santiago,CL,82.99,clear sky,-33.46,-70.65,Hotel Panamericano
337,Karasburg,,85.48,clear sky,-28.02,18.75,Hoon's Selfcatering
344,Cayenne,GF,87.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
349,Mahalapye,BW,84.42,broken clouds,-23.1,26.81,Cresta Mahalapye
357,Oranjestad,AW,78.8,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
364,Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
373,Viedma,AR,81.37,clear sky,-40.81,-63.0,Hotel casa crespo
374,Vaitupu,AR,81.37,clear sky,-40.81,-63.0,Hotel casa crespo
379,Warri,NG,86.81,few clouds,5.52,5.75,BON Hotel Delta
385,Pisco,PE,78.01,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
386,Yulara,AU,78.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
390,San Cristobal,VE,78.8,broken clouds,7.77,-72.22,Pirineos
391,Attawapiskat,VE,78.8,broken clouds,7.77,-72.22,Pirineos
404,Bilma,NE,75.04,broken clouds,18.69,12.92,Expeditions Ténére voyages
405,Karratha,AU,80.98,clear sky,-20.74,116.85,ibis Styles Karratha
412,Vao,NC,78.62,clear sky,-22.67,167.48,Hotel Kou-Bugny
417,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
419,Ancud,CL,78.8,clear sky,-41.87,-73.82,HOTEL ANCUD DON LUCAS
421,San Luis,AR,79.92,broken clouds,-33.3,-66.34,Huarpes Hotel
429,Port Hedland,AU,80.6,scattered clouds,-20.32,118.57,The Esplanade Hotel
431,Ituporanga,BR,84.0,clear sky,-27.41,-49.6,Hotel Jacaré
436,Bartica,GY,87.8,broken clouds,6.4,-58.62,La Vista Hotel and Apartment
437,Yeppoon,AU,78.8,light intensity shower rain,-23.13,150.73,Villa Mar Colina
439,Hambantota,LK,77.0,broken clouds,6.12,81.12,Bungalow 63
441,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
445,Cap Malheureux,MU,80.6,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
449,Lazaro Cardenas,MX,88.52,clear sky,17.96,-102.2,Hotel Quinta Antigua
455,Samarai,PG,77.65,overcast clouds,-10.62,150.67,Nuli Sapi
456,Amderma,PG,77.65,overcast clouds,-10.62,150.67,Nuli Sapi
459,Road Town,VG,84.0,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
460,Tuggurt,VG,84.0,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
479,Inhambane,MZ,84.2,scattered clouds,-23.86,35.38,MHL Turismo SA
480,Puerto Ayora,EC,80.6,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
488,Gizo,SB,76.87,few clouds,-8.1,156.84,Imagination Island
489,Saposoa,PE,77.0,overcast clouds,-6.93,-76.77,Hostal Primavera
490,Necochea,AR,75.0,clear sky,-38.55,-58.74,dyd -mar Hotel
493,Butaritari,KI,83.35,overcast clouds,3.07,172.79,Isles Sunset Lodge
501,Quatre Cocos,MU,80.6,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
526,Sao Miguel Do Araguaia,BR,84.65,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
527,Arraial Do Cabo,BR,78.8,broken clouds,-22.97,-42.03,Pousada Porto Praia
535,Ca Mau,VN,77.45,clear sky,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
542,Kununurra,AU,77.0,broken clouds,-15.77,128.73,Hotel Kununurra
543,Manzanillo,CU,88.97,clear sky,20.34,-77.12,Adrian & Tonia
551,Comodoro Rivadavia,AR,80.6,clear sky,-45.87,-67.5,Austral Hotel
557,Altagracia De Orituco,VE,85.21,overcast clouds,9.86,-66.38,Posada Quinta Mi Refugio
563,Dawei,MM,80.71,clear sky,14.08,98.2,Hotel Dawei
565,Arlit,NE,80.26,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
572,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
579,Lamu,KE,81.64,overcast clouds,-2.27,40.9,Lamu House
580,Turiacu,BR,83.95,scattered clouds,-1.66,-45.37,Pousada Borges
582,Poum,NC,80.67,clear sky,-20.23,164.02,Gîte kajeon
591,Yabelo,ET,76.26,scattered clouds,4.88,38.08,Asnakech W/michael
593,Cairns,AU,78.01,light intensity shower rain,-16.92,145.77,Mantra Trilogy Cairns
598,Salalah,OM,77.0,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
604,Guarapari,BR,82.4,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
605,Tsihombe,BR,82.4,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
608,Puerto Varas,CL,80.6,clear sky,-41.32,-72.99,Hotel Solace
609,Vicuna,CL,84.0,broken clouds,-30.03,-70.71,Los Mosaicos
614,Manadhoo,MV,83.66,overcast clouds,5.77,73.38,Reason Inn
619,Kenitra,MA,75.0,clear sky,34.26,-6.58,Bienvenue chez vous
